"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2020","6.150","6.220","6.290","6.120","401.08K","-1.28%"
"02/12/2020","6.230","6.310","6.310","6.170","191.55K","-1.58%"
"02/11/2020","6.330","6.510","6.510","6.220","339.37K","-2.62%"
"02/10/2020","6.500","6.310","6.530","6.310","2.55M","1.88%"
"02/09/2020","6.380","6.290","6.440","6.260","798.62K","2.57%"
"02/06/2020","6.220","6.150","6.260","6.120","582.42K","1.63%"
"02/05/2020","6.120","6.180","6.180","6.070","633.38K","-1.61%"
"02/04/2020","6.220","6.220","6.230","6.170","1.38M","-0.32%"
"02/03/2020","6.240","6.330","6.330","6.160","249.43K","-1.58%"
"02/02/2020","6.340","6.240","6.440","6.230","177.81K","1.60%"
"01/30/2020","6.240","6.290","6.290","6.220","1.68M","-1.11%"
"01/29/2020","6.310","6.440","6.510","6.270","1.54M","-1.71%"
"01/28/2020","6.420","6.300","6.510","6.290","52.28K","-1.53%"
"01/27/2020","6.520","6.550","6.590","6.440","41.29K","0.15%"
"01/26/2020","6.510","6.480","6.550","6.460","271.63K","-0.76%"
"01/23/2020","6.560","6.570","6.570","6.480","311.86K","0.46%"
"01/22/2020","6.530","6.590","6.590","6.510","312.96K","1.24%"
"01/21/2020","6.450","6.450","6.510","6.440","55.21K","-0.77%"
"01/20/2020","6.500","6.560","6.560","6.450","93.56K","-1.07%"
"01/19/2020","6.570","6.590","6.590","6.510","121.53K","-0.30%"
"01/16/2020","6.590","6.590","6.620","6.550","181.09K","-0.30%"
"01/15/2020","6.610","6.620","6.620","6.550","64.63K","0.15%"
"01/14/2020","6.600","6.730","6.950","6.560","4.08M","0.15%"
"01/13/2020","6.590","6.700","6.700","6.590","116.16K","-3.09%"
"01/12/2020","6.800","6.810","6.810","6.750","140.75K","-0.15%"
"01/09/2020","6.810","6.810","6.830","6.770","200.29K","0.29%"
"01/08/2020","6.790","6.800","6.910","6.770","493.94K","0.30%"
"01/06/2020","6.770","6.660","6.930","6.660","263.30K","-0.59%"
"01/05/2020","6.810","6.510","7.020","6.510","407.22K","-3.54%"
"01/02/2020","7.060","7.020","7.130","6.930","170.20K","-1.26%"
"12/31/2019","7.150","6.950","7.320","6.950","1.49M","3.47%"
"12/30/2019","6.910","6.800","7.020","6.730","2.11M","1.62%"
"12/29/2019","6.800","6.830","6.830","6.660","476.86K","-0.44%"
"12/26/2019","6.830","6.860","6.860","6.730","890.52K","2.09%"
"12/25/2019","6.690","6.580","6.830","6.480","1.73M","6.36%"
"12/24/2019","6.290","6.590","6.650","6.050","13.60M","-5.56%"
"12/23/2019","6.660","6.950","6.950","6.460","3.32M","-4.03%"
"12/22/2019","6.940","7.010","7.010","6.890","9.16K","-1.00%"
"12/19/2019","7.010","6.990","7.090","6.990","15.19K","0.29%"
"12/18/2019","6.990","6.990","7.060","6.950","121.97K","-1.69%"
"12/17/2019","7.110","7.110","7.210","7.050","18.93K","2.60%"
"12/16/2019","6.930","6.660","7.310","6.660","1.31M","4.21%"
"12/15/2019","6.650","6.610","6.670","6.590","55.13K","-0.75%"
"12/12/2019","6.700","6.660","6.730","6.640","58.26K","-0.59%"
"12/11/2019","6.740","6.720","6.810","6.720","132.84K","0.15%"
"12/10/2019","6.730","6.720","6.810","6.720","917.34K","-1.32%"
"12/09/2019","6.820","6.810","6.880","6.810","28.95K","0.15%"
"12/08/2019","6.810","6.810","6.810","6.810","0.32K","0.00%"
"12/05/2019","6.810","6.620","6.880","6.620","256.66K","-0.73%"
"12/04/2019","6.860","7.060","7.060","6.810","123.95K","0.73%"
"12/03/2019","6.810","6.750","6.860","6.730","689.65K","1.04%"
"12/02/2019","6.740","6.950","6.950","6.720","234.37K","-3.16%"
"12/01/2019","6.960","6.990","6.990","6.840","95.09K","-0.85%"
"11/28/2019","7.020","7.020","7.170","6.970","249.84K","-1.13%"
"11/27/2019","7.100","7.080","7.160","7.080","450.94K","1.43%"
"11/26/2019","7.000","6.960","7.020","6.950","141.96K","0.00%"
"11/25/2019","7.000","7.100","7.100","6.950","99.53K","-1.41%"
"11/24/2019","7.100","6.990","7.100","6.980","435.38K","0.00%"
"11/21/2019","7.100","7.030","7.160","7.020","136.49K","-0.14%"
"11/20/2019","7.110","7.130","7.170","7.100","574.14K","0.14%"
"11/19/2019","7.100","7.100","7.130","7.100","1.28M","0.14%"
"11/18/2019","7.090","7.040","7.130","7.020","155.99K","0.14%"
