"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2023","36.05","36.38","36.49","36.05","139.15K","-0.72%"
"07/31/2023","36.31","35.90","36.45","35.90","187.28K","1.20%"
"07/30/2023","35.88","36.40","36.45","35.85","170.84K","-0.64%"
"07/27/2023","36.11","36.29","36.55","36.05","316.18K","-0.08%"
"07/26/2023","36.14","36.50","36.79","36.05","150.91K","-1.01%"
"07/25/2023","36.51","36.54","36.89","36.12","263.11K","0.75%"
"07/24/2023","36.24","37.42","37.45","36.00","694.73K","-3.18%"
"07/19/2023","37.43","37.99","37.99","37.40","39.95K","-0.90%"
"07/18/2023","37.77","38.00","38.25","37.61","98.86K","-0.81%"
"07/17/2023","38.08","37.85","38.45","37.70","158.07K","1.09%"
"07/16/2023","37.67","37.00","38.89","37.00","511.46K","1.81%"
"07/13/2023","37.00","36.30","37.10","36.10","233.81K","1.45%"
"07/12/2023","36.47","36.50","36.50","36.01","40.59K","0.08%"
"07/11/2023","36.44","36.15","36.50","35.11","120.17K","0.69%"
"07/10/2023","36.19","34.01","36.39","34.00","182.07K","6.66%"
"07/09/2023","33.93","35.88","36.00","33.00","174.07K","-5.43%"
"07/06/2023","35.88","37.25","37.37","35.62","487.50K","-3.88%"
"07/05/2023","37.33","35.80","37.40","35.65","286.16K","4.33%"
"07/04/2023","35.78","35.55","35.97","35.55","72.16K","0.79%"
"06/26/2023","35.50","35.00","35.50","34.80","305.40K","1.98%"
"06/25/2023","34.81","35.15","35.20","34.79","107.87K","-0.68%"
"06/22/2023","35.05","35.25","35.44","34.90","307.36K","0.09%"
"06/21/2023","35.02","35.80","35.94","34.82","309.64K","-1.93%"
"06/20/2023","35.71","36.00","36.28","35.60","245.97K","-0.78%"
"06/19/2023","35.99","36.70","36.70","35.80","326.34K","-1.67%"
"06/18/2023","36.60","36.60","36.95","36.45","107.42K","0.33%"
"06/15/2023","36.48","36.50","36.70","36.00","257.94K","1.19%"
"06/14/2023","36.05","36.40","37.50","35.83","414.08K","1.12%"
"06/13/2023","35.65","36.50","37.75","35.30","1.13M","-1.95%"
"06/12/2023","36.36","36.60","37.00","36.20","33.44K","0.94%"
"06/11/2023","36.02","37.40","37.50","36.00","189.63K","0.81%"
"06/08/2023","35.73","35.52","37.80","34.82","702.37K","0.59%"
"06/07/2023","35.52","37.00","37.30","35.22","962.46K","-3.48%"
"06/06/2023","36.80","38.17","38.39","36.50","352.37K","-3.16%"
"06/05/2023","38.00","39.00","39.20","37.95","829.56K","-1.55%"
"06/04/2023","38.60","39.47","39.80","38.60","168.66K","-1.81%"
"06/01/2023","39.31","39.48","39.85","38.85","253.36K","0.43%"
"05/31/2023","39.14","39.80","40.20","38.98","1.38M","-1.66%"
"05/30/2023","39.80","39.75","40.00","39.20","156.03K","1.30%"
"05/29/2023","39.29","39.96","40.00","38.60","440.06K","-1.68%"
"05/28/2023","39.96","40.19","40.34","39.60","141.41K","-0.10%"
"05/25/2023","40.00","40.15","40.45","39.80","375.33K","-0.02%"
